0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:40 -0300] "GET /estoque/listar HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:41 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:41 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:41 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:41 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:30:41 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/listar HTTP/1.1" 200 5177
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:32:58 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:16 -0300] "GET /estoque/listar HTTP/1.1" 200 5190
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:17 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:17 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:17 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:17 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:34:17 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:57 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:58 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:58 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:58 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:58 -0300] "GET /estoque/listar HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:35:58 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:09 -0300] "GET /estoque/listar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:10 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:11 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:11 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:23 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/listar HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
