0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:34 -0300] "GET /casadocodigo/carrinho HTTP/1.1" 200 10126
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:34 -0300] "GET /excluir.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:01 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:02 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:02 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:12 -0300] "GET /casadocodigo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/ HTTP/1.1" 200 22148
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:17 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:18 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:36 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:39:51 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:40:24 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:40:40 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:40:50 -0300] "GET /casadocodigo/produtos/detalhe/23 HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:40:59 -0300] "GET /cart HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:41:09 -0300] "POST /casadocodigo/carrinho/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:41:10 -0300] "GET /casadocodigo/carrinho HTTP/1.1" 200 10875
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:41:11 -0300] "GET /excluir.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:41:39 -0300] "POST /casadocodigo/pagamento/finalizar HTTP/1.1" 500 2337
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:41:52 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:42:11 -0300] "GET /casadocodigo/produtos/detalhe/3 HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:42:23 -0300] "POST /casadocodigo/carrinho/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:42:23 -0300] "GET /casadocodigo/carrinho HTTP/1.1" 200 10877
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:42:24 -0300] "GET /excluir.png HTTP/1.1" 404 973
