0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:08 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:07 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:08 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:08 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:08 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:08 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:47:08 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:31 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:32 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:32 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:32 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:32 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:32 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:52 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:53 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:53 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:53 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:53 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:56:53 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:59:26 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 7472
